complaint_id,citizen_id,department,region,category,severity,status,complaint_date,resolution_date,resolution_days,description,citizen_rating,mode_of_complaint,assigned_officer
GRV00044,CIT33819,Fire Services,North District,Power Outage,Low,Pending,2024-08-03,,,No electricity for this hours continuously,,Walk-in,Officer_208
GRV00045,CIT43065,Education Department,Industrial Area,Noise Pollution,Medium,In Progress,2024-05-13,,,Serious issue regarding 17 in our locality,,Email,Officer_126
GRV00046,CIT42411,Public Transport,West District,Power Outage,High,In Progress,2022-03-05,,,Frequent power cuts 28 times daily in our ward,,Email,Officer_178
GRV00047,CIT58351,Municipal Sanitation,South District,Delayed Response,Medium,Pending,2023-06-09,,,Urgent complaint about 21 affecting citizens,,Mobile App,Officer_259
GRV00048,CIT35995,Roads & Infrastructure,Hill Station,Water Shortage,Medium,Closed,2024-02-08,2024-03-09,30.0,No water supply for past Hill Station days in our area,1,Walk-in,Officer_450
GRV00049,CIT96706,Police Department,South District,Road Construction Delay,Medium,In Progress,2024-05-27,,,No action taken on our complaint since this days,,Phone,Officer_154
GRV00050,CIT95256,Revenue Department,Industrial Area,Poor Service,Medium,In Progress,2024-12-04,,,No action taken on this complaint since this days,,Email,Officer_237
GRV00051,CIT89997,Public Transport,West District,Power Outage,Medium,Resolved,2024-08-09,2024-09-19,41.0,Power fluctuation damaging home appliances in 12,4,Walk-in,Officer_193
GRV00052,CIT82848,Education Department,West District,Air Pollution,Medium,In Progress,2023-07-20,,,Serious issue regarding West District in our locality,,Online Portal,Officer_223
GRV00053,CIT94659,Environment Department,Suburban Area,Delayed Response,Medium,Pending,2024-09-02,,,Repeated complaint about 16 in our area still unresolved,,Mobile App,Officer_307
GRV00054,CIT55056,Environment Department,West District,School Facilities,Medium,Pending,2024-12-23,,,Repeated complaint about our in this area still unresolved,,Walk-in,Officer_256
GRV00055,CIT35105,Health Services,West District,Garbage Collection,Medium,In Progress,2023-01-15,,,Overflowing dustbin near this area not cleaned,,Walk-in,Officer_470
GRV00056,CIT39816,Police Department,New Township,Sewage Overflow,Low,Resolved,2023-02-02,2023-03-21,47.0,No action taken on our complaint since New Township days,3,Online Portal,Officer_127
GRV00057,CIT11607,Housing Authority,Central Zone,Street Light Failure,High,Pending,2022-07-30,,,No action taken on this complaint since our days,,Mobile App,Officer_126
GRV00058,CIT85631,Health Services,Old City,Garbage Collection,Medium,In Progress,2022-06-01,,,Garbage not collected for Old City days,,Email,Officer_255
GRV00059,CIT78494,Roads & Infrastructure,Suburban Area,Garbage Collection,Medium,Pending,2023-04-08,,,No sanitation vehicle visiting our locality since this,,Walk-in,Officer_401
GRV00060,CIT37235,Revenue Department,Central Zone,Road Construction Delay,High,Pending,2022-07-23,,,Urgent complaint about 10 affecting citizens,,Mobile App,Officer_222
GRV00061,CIT14278,Electricity Board,New Township,Power Outage,Medium,Resolved,2024-08-20,2024-09-12,23.0,Frequent power cuts our times daily in our ward,4,Online Portal,Officer_451
GRV00062,CIT94886,Municipal Sanitation,Central Zone,Road Construction Delay,Critical,Pending,2023-04-06,,,Urgent complaint about Central Zone affecting citizens,,Online Portal,Officer_130
GRV00063,CIT67560,Electricity Board,Central Zone,Sewage Overflow,Medium,In Progress,2023-08-15,,,Serious issue regarding our in our locality,,Phone,Officer_239
GRV00064,CIT89129,Housing Authority,New Township,Delayed Response,Medium,Resolved,2024-06-03,2024-06-28,25.0,No action taken on 2 complaint since 9 days,3,Email,Officer_120
GRV00065,CIT86720,Electricity Board,Old City,Documentation Issue,Critical,Pending,2023-01-07,,,Repeated complaint about this in this area still unresolved,,Walk-in,Officer_309
GRV00066,CIT96846,Public Transport,Industrial Area,Garbage Collection,Medium,Closed,2024-10-11,2024-11-03,23.0,No sanitation vehicle visiting our locality since 28,4,Online Portal,Officer_261
GRV00067,CIT10150,Health Services,Industrial Area,Garbage Collection,Medium,Reopened,2024-11-19,,,No sanitation vehicle visiting our locality since 15,,Mobile App,Officer_365
GRV00068,CIT45003,Public Transport,Riverside Block,Delayed Response,High,Pending,2023-02-21,,,Urgent complaint about this affecting citizens,,Phone,Officer_162
GRV00069,CIT82384,Water Supply,West District,Sewage Overflow,High,In Progress,2022-01-29,,,Repeated complaint about West District in 28 area still unresolved,,Phone,Officer_160
GRV00070,CIT73242,Fire Services,East District,Delayed Response,Medium,Closed,2023-07-14,2023-08-14,31.0,Repeated complaint about this in East District area still unresolved,4,Mobile App,Officer_406
GRV00071,CIT76550,Housing Authority,Coastal Ward,Street Light Failure,Medium,Closed,2024-04-29,2024-05-25,26.0,No action taken on 28 complaint since our days,5,Email,Officer_437
GRV00072,CIT69682,Education Department,East District,Poor Service,Medium,Pending,2024-02-12,,,No action taken on East District complaint since East District days,,Email,Officer_296
GRV00073,CIT96991,Municipal Sanitation,Hill Station,Road Damage,Medium,Resolved,2024-02-20,2024-03-20,29.0,Road completely damaged after rains near 17,2,Email,Officer_402
GRV00074,CIT63736,Public Transport,South District,Poor Service,Critical,Resolved,2022-02-01,2022-02-04,3.0,Urgent complaint about this affecting citizens,3,Walk-in,Officer_419
GRV00075,CIT51505,Environment Department,Suburban Area,Power Outage,High,Closed,2024-12-28,2025-01-12,15.0,Power fluctuation damaging home appliances in 29,5,Online Portal,Officer_220
GRV00076,CIT22903,Fire Services,Hill Station,School Facilities,High,Reopened,2024-06-07,,,Serious issue regarding Hill Station in our locality,,Walk-in,Officer_114
GRV00077,CIT84177,Water Supply,North District,Road Damage,Medium,Resolved,2024-12-23,2025-01-23,31.0,Road completely damaged after rains near North District,1,Email,Officer_295
GRV00078,CIT70443,Police Department,Hill Station,Bus Route Issue,Medium,Pending,2023-04-21,,,No action taken on our complaint since 23 days,,Phone,Officer_247
GRV00079,CIT42780,Fire Services,New Township,Drainage Issue,Critical,Resolved,2023-09-05,2023-09-12,7.0,Stagnant water breeding mosquitoes near our,2,Phone,Officer_347
GRV00080,CIT12875,Roads & Infrastructure,Coastal Ward,Encroachment,Medium,Pending,2023-08-28,,,Repeated complaint about 10 in 20 area still unresolved,,Email,Officer_481
GRV00081,CIT91381,Education Department,Central Zone,Bus Route Issue,Medium,Pending,2023-01-25,,,No action taken on Central Zone complaint since 22 days,,Online Portal,Officer_258
GRV00082,CIT64460,Education Department,North District,Road Construction Delay,Low,Resolved,2023-08-28,2023-10-18,51.0,Urgent complaint about North District affecting citizens,5,Walk-in,Officer_371
GRV00083,CIT54396,Housing Authority,Central Zone,Drainage Issue,High,Resolved,2024-09-13,2024-09-25,12.0,Drain blocked causing flooding in 16 area,2,Mobile App,Officer_446
GRV00084,CIT21836,Environment Department,Hill Station,Encroachment,High,Reopened,2024-01-20,,,Repeated complaint about our in 19 area still unresolved,,Phone,Officer_288
GRV00085,CIT24201,Fire Services,Coastal Ward,Property Tax,High,Pending,2024-01-31,,,Urgent complaint about 17 affecting citizens,,Email,Officer_387
GRV00086,CIT49608,Public Transport,Riverside Block,Bus Route Issue,High,Pending,2024-08-08,,,Repeated complaint about Riverside Block in 3 area still unresolved,,Walk-in,Officer_352
GRV00087,CIT30253,Roads & Infrastructure,Industrial Area,Bus Route Issue,Low,Closed,2024-05-08,2024-08-01,85.0,Repeated complaint about 22 in this area still unresolved,5,Phone,Officer_243
GRV00088,CIT99873,Water Supply,East District,Air Pollution,Medium,Resolved,2024-01-13,2024-01-24,11.0,No action taken on our complaint since this days,3,Mobile App,Officer_162
GRV00089,CIT16629,Education Department,South District,Hospital Service,Medium,Pending,2022-02-13,,,No action taken on South District complaint since South District days,,Online Portal,Officer_491
GRV00090,CIT88116,Housing Authority,West District,Road Construction Delay,High,Resolved,2023-11-04,2023-11-11,7.0,Serious issue regarding West District in our locality,2,Email,Officer_228
GRV00091,CIT52437,Electricity Board,South District,Water Shortage,Medium,Resolved,2023-05-03,2023-06-14,42.0,No water supply for past our days in our area,1,Mobile App,Officer_479
GRV00092,CIT77271,Revenue Department,New Township,Garbage Collection,Medium,In Progress,2024-01-12,,,Garbage not collected for New Township days,,Email,Officer_122
GRV00093,CIT72781,Environment Department,Hill Station,Documentation Issue,High,Resolved,2022-03-05,2022-03-09,4.0,Repeated complaint about 15 in this area still unresolved,1,Online Portal,Officer_264
GRV00094,CIT88301,Police Department,East District,Power Outage,High,Resolved,2023-10-28,2023-11-12,15.0,Transformer damaged causing outage in this area,1,Online Portal,Officer_435
GRV00095,CIT69441,Fire Services,New Township,Hospital Service,Critical,Resolved,2024-04-27,2024-05-03,6.0,Repeated complaint about 15 in this area still unresolved,3,Walk-in,Officer_291
GRV00096,CIT22656,Electricity Board,Hill Station,Delayed Response,High,Resolved,2022-07-10,2022-07-26,16.0,No action taken on Hill Station complaint since 19 days,5,Email,Officer_387
GRV00097,CIT47700,Public Transport,Hill Station,Garbage Collection,High,Resolved,2024-05-16,2024-05-20,4.0,Garbage dumped on road since 13 week near Hill Station,2,Phone,Officer_214
GRV00098,CIT91490,Roads & Infrastructure,Suburban Area,Water Quality,High,Resolved,2024-05-28,2024-06-17,20.0,Serious issue regarding our in our locality,1,Mobile App,Officer_239
GRV00099,CIT96159,Environment Department,Central Zone,Noise Pollution,Low,Resolved,2022-10-21,2023-01-11,82.0,Repeated complaint about Central Zone in 25 area still unresolved,1,Email,Officer_210
GRV00100,CIT88148,Revenue Department,Suburban Area,Poor Service,Medium,Resolved,2023-10-27,2023-12-07,41.0,Serious issue regarding 30 in our locality,2,Mobile App,Officer_486
GRV00101,CIT67939,Police Department,North District,Power Outage,High,Resolved,2024-09-21,2024-10-13,22.0,Power fluctuation damaging home appliances in North District,5,Online Portal,Officer_276
GRV00102,CIT97442,Revenue Department,South District,School Facilities,Medium,Pending,2024-12-15,,,No action taken on South District complaint since 14 days,,Online Portal,Officer_204
GRV00103,CIT11013,Health Services,West District,Street Light Failure,Medium,In Progress,2022-09-03,,,Repeated complaint about this in West District area still unresolved,,Phone,Officer_372
GRV00104,CIT19447,Environment Department,West District,Documentation Issue,High,Pending,2023-12-27,,,Repeated complaint about 29 in 15 area still unresolved,,Phone,Officer_139
GRV00105,CIT47947,Public Transport,Riverside Block,Corruption,High,Pending,2024-05-05,,,Serious issue regarding 14 in our locality,,Walk-in,Officer_187
GRV00106,CIT87184,Police Department,Old City,Air Pollution,High,Resolved,2023-05-14,2023-05-30,16.0,Repeated complaint about 18 in our area still unresolved,3,Mobile App,Officer_270
GRV00107,CIT55793,Electricity Board,South District,Documentation Issue,Medium,Pending,2023-02-02,,,No action taken on South District complaint since 9 days,,Mobile App,Officer_231
GRV00108,CIT83889,Municipal Sanitation,North District,Sewage Overflow,High,Resolved,2024-10-08,2024-10-25,17.0,Repeated complaint about our in our area still unresolved,2,Phone,Officer_134
GRV00109,CIT76497,Education Department,Old City,School Facilities,Medium,In Progress,2023-12-22,,,Serious issue regarding this in our locality,,Phone,Officer_119
GRV00110,CIT70648,Water Supply,Riverside Block,School Facilities,High,Resolved,2024-11-04,2024-11-19,15.0,Serious issue regarding Riverside Block in our locality,3,Email,Officer_343
GRV00111,CIT21053,Housing Authority,East District,Road Damage,High,Pending,2023-12-05,,,Road completely damaged after rains near East District,,Phone,Officer_324
GRV00112,CIT63578,Housing Authority,New Township,Sewage Overflow,Medium,Resolved,2023-08-03,2023-09-01,29.0,No action taken on 23 complaint since our days,1,Walk-in,Officer_148
GRV00113,CIT20682,Housing Authority,Hill Station,Encroachment,High,Resolved,2022-11-04,2022-11-17,13.0,Urgent complaint about our affecting citizens,4,Mobile App,Officer_404
GRV00114,CIT26750,Environment Department,South District,School Facilities,High,Pending,2023-11-04,,,Serious issue regarding this in our locality,,Email,Officer_285
GRV00115,CIT39693,Water Supply,Coastal Ward,School Facilities,Medium,Resolved,2024-09-22,2024-10-09,17.0,Urgent complaint about 6 affecting citizens,3,Online Portal,Officer_359
GRV00116,CIT59377,Housing Authority,Coastal Ward,Documentation Issue,Medium,Resolved,2022-09-26,2022-11-08,43.0,Urgent complaint about Coastal Ward affecting citizens,5,Mobile App,Officer_469
GRV00117,CIT47346,Education Department,North District,Corruption,High,Resolved,2024-06-28,2024-07-20,22.0,Repeated complaint about North District in this area still unresolved,2,Walk-in,Officer_447
GRV00118,CIT79135,Police Department,Old City,Poor Service,High,In Progress,2024-10-26,,,Repeated complaint about Old City in Old City area still unresolved,,Walk-in,Officer_126
GRV00119,CIT26341,Fire Services,Old City,Air Pollution,Low,Pending,2024-11-22,,,No action taken on Old City complaint since this days,,Email,Officer_175
GRV00120,CIT64381,Revenue Department,South District,Bus Route Issue,Critical,In Progress,2022-02-24,,,Serious issue regarding our in our locality,,Mobile App,Officer_297
GRV00121,CIT28035,Roads & Infrastructure,Riverside Block,Bus Route Issue,Critical,Resolved,2023-11-18,2023-11-21,3.0,Serious issue regarding this in our locality,2,Phone,Officer_329
GRV00122,CIT89807,Police Department,North District,Power Outage,Medium,Resolved,2022-11-03,2022-12-13,40.0,Power fluctuation damaging home appliances in our,2,Walk-in,Officer_162
GRV00123,CIT88215,Water Supply,North District,Corruption,High,Pending,2024-10-20,,,Serious issue regarding North District in our locality,,Mobile App,Officer_249
GRV00124,CIT78614,Revenue Department,North District,Sewage Overflow,Medium,Resolved,2023-01-19,2023-01-29,10.0,No action taken on 4 complaint since this days,1,Phone,Officer_291
GRV00125,CIT23587,Health Services,Coastal Ward,Water Shortage,Low,Resolved,2023-05-09,2023-08-07,90.0,Irregular water supply affecting 6 households,3,Email,Officer_273
GRV00126,CIT27675,Fire Services,East District,Poor Service,Medium,Reopened,2023-01-09,,,Serious issue regarding this in our locality,,Online Portal,Officer_250
GRV00127,CIT72049,Municipal Sanitation,West District,Hospital Service,Medium,Closed,2024-03-26,2024-05-04,39.0,No action taken on West District complaint since our days,1,Walk-in,Officer_239
GRV00128,CIT34486,Roads & Infrastructure,Hill Station,Corruption,High,Closed,2024-03-02,2024-03-15,13.0,Repeated complaint about this in our area still unresolved,1,Phone,Officer_140
GRV00129,CIT52981,Revenue Department,Riverside Block,Drainage Issue,Medium,Pending,2022-06-13,,,Drainage pipe broken for this weeks,,Email,Officer_467
GRV00130,CIT67008,Revenue Department,East District,Poor Service,Low,Resolved,2023-12-24,2024-03-21,88.0,No action taken on 22 complaint since this days,3,Email,Officer_483
GRV00131,CIT26545,Fire Services,East District,Water Shortage,High,Resolved,2024-06-16,2024-06-20,4.0,No water supply for past our days in our area,3,Phone,Officer_390
GRV00132,CIT85225,Water Supply,Central Zone,Street Light Failure,Critical,Pending,2022-06-07,,,Urgent complaint about our affecting citizens,,Phone,Officer_260
GRV00133,CIT75410,Fire Services,Central Zone,Bus Route Issue,Low,Reopened,2023-01-17,,,Repeated complaint about 19 in our area still unresolved,,Phone,Officer_209
GRV00134,CIT32630,Police Department,Central Zone,Delayed Response,Low,Resolved,2022-06-01,2022-08-07,67.0,Repeated complaint about our in our area still unresolved,1,Email,Officer_377
GRV00135,CIT57381,Health Services,Central Zone,Drainage Issue,Critical,In Progress,2022-12-23,,,Sewage overflow on main road near Central Zone,,Mobile App,Officer_221
GRV00136,CIT90209,Education Department,North District,Air Pollution,Medium,Pending,2022-09-23,,,Serious issue regarding our in our locality,,Phone,Officer_467
GRV00137,CIT51553,Environment Department,Old City,Documentation Issue,Medium,Resolved,2022-06-01,2022-06-14,13.0,Serious issue regarding this in our locality,5,Walk-in,Officer_165
GRV00138,CIT17263,Housing Authority,Hill Station,Road Construction Delay,Critical,Resolved,2024-06-05,2024-06-14,9.0,Serious issue regarding Hill Station in our locality,3,Mobile App,Officer_182
GRV00139,CIT42847,Public Transport,Coastal Ward,Bus Route Issue,Critical,Resolved,2023-08-05,2023-08-07,2.0,Urgent complaint about our affecting citizens,2,Walk-in,Officer_414
GRV00140,CIT32439,Housing Authority,South District,Documentation Issue,Medium,Pending,2022-11-12,,,No action taken on 28 complaint since 28 days,,Online Portal,Officer_123
GRV00141,CIT91016,Fire Services,Riverside Block,Property Tax,High,Pending,2024-05-03,,,Serious issue regarding our in our locality,,Walk-in,Officer_347
GRV00142,CIT73471,Municipal Sanitation,North District,Encroachment,Low,Resolved,2024-06-19,2024-08-21,63.0,Repeated complaint about our in North District area still unresolved,3,Walk-in,Officer_475
GRV00143,CIT51827,Public Transport,Suburban Area,Street Light Failure,Medium,In Progress,2022-08-06,,,Urgent complaint about 16 affecting citizens,,Walk-in,Officer_330
GRV00144,CIT30932,Municipal Sanitation,Riverside Block,Garbage Collection,Critical,Resolved,2024-05-06,2024-05-10,4.0,Garbage dumped on road since our week near Riverside Block,4,Email,Officer_339
GRV00145,CIT41552,Education Department,Central Zone,Delayed Response,Critical,Resolved,2024-11-01,2024-11-09,8.0,Urgent complaint about our affecting citizens,1,Online Portal,Officer_244
GRV00146,CIT27555,Education Department,Riverside Block,Delayed Response,Low,Resolved,2022-08-09,2022-10-13,65.0,No action taken on our complaint since this days,3,Online Portal,Officer_305
GRV00147,CIT82070,Water Supply,North District,Water Quality,Medium,Resolved,2024-10-29,2024-12-01,33.0,No action taken on 28 complaint since 6 days,4,Walk-in,Officer_273
GRV00148,CIT15938,Housing Authority,Industrial Area,Street Light Failure,Medium,Resolved,2024-10-21,2024-10-28,7.0,Serious issue regarding our in our locality,4,Email,Officer_333
GRV00149,CIT61505,Electricity Board,Riverside Block,Documentation Issue,Critical,Resolved,2023-10-15,2023-10-18,3.0,No action taken on our complaint since this days,5,Walk-in,Officer_343
GRV00150,CIT88238,Water Supply,Suburban Area,Noise Pollution,Critical,Pending,2022-02-24,,,Repeated complaint about Suburban Area in 25 area still unresolved,,Email,Officer_345
GRV00151,CIT14138,Electricity Board,New Township,Sewage Overflow,Medium,In Progress,2023-05-12,,,Serious issue regarding 8 in our locality,,Phone,Officer_260
GRV00152,CIT18163,Revenue Department,East District,Corruption,Medium,Pending,2024-08-23,,,Urgent complaint about East District affecting citizens,,Email,Officer_266
GRV00153,CIT54869,Fire Services,Old City,Documentation Issue,Critical,Resolved,2024-07-30,2024-08-08,9.0,No action taken on our complaint since this days,2,Mobile App,Officer_242
GRV00154,CIT74094,Housing Authority,Central Zone,Bus Route Issue,Critical,Closed,2023-08-15,2023-08-19,4.0,No action taken on our complaint since our days,3,Online Portal,Officer_393
GRV00155,CIT48070,Fire Services,New Township,Encroachment,Medium,Closed,2023-12-08,2023-12-22,14.0,Serious issue regarding 11 in our locality,3,Phone,Officer_435
GRV00156,CIT45601,Health Services,Coastal Ward,Delayed Response,High,Resolved,2023-07-10,2023-07-30,20.0,Urgent complaint about Coastal Ward affecting citizens,2,Online Portal,Officer_442
GRV00157,CIT99285,Housing Authority,West District,Bus Route Issue,Medium,Resolved,2024-08-25,2024-09-05,11.0,Urgent complaint about West District affecting citizens,4,Phone,Officer_344
GRV00158,CIT85252,Fire Services,West District,School Facilities,High,Resolved,2022-07-03,2022-07-26,23.0,Urgent complaint about 19 affecting citizens,2,Phone,Officer_190
GRV00159,CIT11214,Water Supply,Riverside Block,Delayed Response,High,Resolved,2023-08-16,2023-08-20,4.0,No action taken on 20 complaint since our days,4,Email,Officer_368
GRV00160,CIT53343,Education Department,East District,Documentation Issue,Low,Pending,2022-08-19,,,Urgent complaint about this affecting citizens,,Walk-in,Officer_467
GRV00161,CIT33002,Electricity Board,North District,Noise Pollution,Medium,In Progress,2023-01-31,,,Repeated complaint about this in our area still unresolved,,Online Portal,Officer_305
GRV00162,CIT10895,Fire Services,South District,Drainage Issue,Medium,Reopened,2023-05-24,,,Drainage pipe broken for South District weeks,,Phone,Officer_485
GRV00163,CIT95679,Health Services,Industrial Area,School Facilities,Medium,Pending,2023-06-20,,,No action taken on Industrial Area complaint since 3 days,,Phone,Officer_257
GRV00164,CIT93717,Electricity Board,Suburban Area,Documentation Issue,Critical,Closed,2023-09-29,2023-10-01,2.0,No action taken on Suburban Area complaint since Suburban Area days,4,Mobile App,Officer_332
GRV00165,CIT97044,Environment Department,Riverside Block,Air Pollution,Medium,Resolved,2024-08-22,2024-09-30,39.0,Urgent complaint about Riverside Block affecting citizens,5,Online Portal,Officer_369
GRV00166,CIT76255,Education Department,New Township,Air Pollution,Medium,Resolved,2022-05-07,2022-06-16,40.0,Urgent complaint about New Township affecting citizens,2,Walk-in,Officer_366
GRV00167,CIT68390,Education Department,South District,Hospital Service,Medium,In Progress,2024-11-11,,,Serious issue regarding South District in our locality,,Email,Officer_312
GRV00168,CIT12853,Education Department,Riverside Block,Road Damage,High,Pending,2023-09-24,,,Broken road surface causing vehicle damage in 10,,Mobile App,Officer_396
GRV00169,CIT14159,Roads & Infrastructure,Coastal Ward,Corruption,Low,Resolved,2022-05-22,2022-07-31,70.0,No action taken on Coastal Ward complaint since Coastal Ward days,4,Walk-in,Officer_295
